,BlockID,MaxCurrentRate,Latitude,Longitude,Average.Duration.of.Paid.Parkers.in.Hours,Unpaid.Vehicles,Expired.Vehicles,Exempt.Vehicles,Spaces.Occupied,Survey.Count,Receipt.Transactions,Mobile.Transactions,StreetDirection,StreetSide,BlockDescription,BlockStartNumber,BlockEndNumber,TerminalLocationAddress,TerminalID,Area,Zone,ID,X,Y,MegaCluster_Flag,Tickets,Cars
1,B101101,2,41.99854464,-87.67067917,0.823,64,4,2,197,44,12897,6303,N,E, 6401 - 6401 N CLARK ST ,6401,6401,6401 N CLARK ST,101101,101,1,1,444454.5456,4649832.168,0,1.545454545,4.477272727
2,B200401,4,41.89010277,-87.64533162,1.637,131,36,9,1148,228,5756,7148,W,S, 637 - 655 W HUBBARD ST ,637,655,651 W HUBBARD ST,200402,200,4,2,446463.1853,4637775.894,1,0.73245614,5.035087719
3,B200403,4,41.89007082,-87.64709584,1.62,49,16,1,436,217,3111,3424,W,S, 723 - 745 W HUBBARD ST ,723,745,739 W HUBBARD ST,200404,200,4,3,446316.7979,4637773.449,1,0.299539171,2.00921659
4,B200405,4,41.89010926,-87.64675856,1.54,31,16,2,234,216,1633,2064,W,N, 708 - 726 W HUBBARD ST ,708,726,718 W HUBBARD ST,200405,200,4,4,446344.811,4637777.506,1,0.217592593,1.083333333
5,B200406,4,41.89013672,-87.64503121,1.544,56,15,17,559,217,2235,4245,W,N, 640 - 650 W HUBBARD ST ,640,650,646 W HUBBARD ST,200406,200,4,5,446488.1358,4637779.476,1,0.32718894,2.576036866
6,B200407,4,41.89059296,-87.64433451,1.232,19,8,3,197,208,1772,2107,N,E, 463 - 475 N DESPLAINES ST ,463,475,469 N DESPLAINES ST,200407,200,4,6,446546.3148,4637829.697,1,0.129807692,0.947115385
7,B200408,4,41.88904201,-87.64357746,1.217,50,8,2,379,227,3453,3961,W,S, 603 - 629 W KINZIE ST ,603,629,617 W KINZIE ST,200408,200,4,7,446607.8281,4637657.027,1,0.255506608,1.669603524
8,B200409,4,41.89012723,-87.64384501,1.604,17,3,0,117,211,482,545,W,S, 619 - 629 W HUBBARD ST ,619,629,625 W HUBBARD ST,200409,200,4,8,446586.5357,4637777.683,1,0.09478673,0.55450237
9,B200410,4,41.89194321,-87.64584057,0.877,97,45,13,589,209,9941,5508,N,W, 540 - 550 N UNION AVE ,540,550,546 N UNION AVE,200410,200,4,9,446422.5006,4637980.551,1,0.679425837,2.818181818
10,B200411,4,41.88905449,-87.64236711,1.207,151,32,1,974,218,5797,11612,W,S, 545 - 601 W KINZIE ST ,545,601,575 W KINZIE ST,200411,200,4,10,446708.2514,4637657.66,1,0.839449541,4.467889908
11,B200412,4,41.88879891,-87.64295049,1.217,113,22,1,614,230,3649,4746,N,W, 352 - 390 N JEFFERSON ST ,352,390,370 N JEFFERSON ST,200412,200,4,11,446659.6404,4637629.646,1,0.586956522,2.669565217
12,B200413,4,41.88879292,-87.64291026,1.198,81,18,1,455,225,2558,4049,N,E, 351 - 391 N JEFFERSON ST ,351,391,371 N JEFFERSON ST,200413,200,4,12,446662.973,4637628.956,1,0.44,2.022222222
13,B201402,4,41.87285487,-87.63163358,1.381,203,30,12,780,158,6083,6912,S,E, 603 - 753 S LA SALLE ST ,603,753,745 S LASALLE ST,201402,201,4,13,447585.4879,4635852.45,1,1.474683544,4.936708861
14,B201405,4,41.8747028,-87.62965143,1.454,20,12,6,216,142,3595,2917,S,E, 503 - 551 S FEDERAL ST ,503,551,547 S FEDERAL ST,201405,201,4,14,447751.4774,4636056.412,1,0.225352113,1.521126761
15,B201406,4,41.87429387,-87.62964673,1.47,73,21,61,735,151,9877,11305,S,E, 611 - 641 S FEDERAL ST ,611,641,623 S FEDERAL ST,201406,201,4,15,447751.5344,4636011.007,1,0.622516556,4.867549669
16,B201407,4,41.87291129,-87.62961119,1.516,57,17,79,694,150,6487,8571,S,E, 743 - 789 S FEDERAL ST ,743,789,747 S FEDERAL ST,201407,201,4,16,447753.3575,4635857.481,1,0.493333333,4.626666667
17,B201408,4,41.87386697,-87.62868583,1.475,107,50,38,979,160,11252,12789,S,W, 606 - 638 S PLYMOUTH CT ,606,638,632 S PLYMOUTH CT,201408,201,4,17,447830.9236,4635963.025,1,0.98125,6.11875
18,B201409,4,41.87521308,-87.62869723,1.412,38,11,38,419,151,5819,7061,S,W, 514 - 534 S PLYMOUTH CT ,514,534,526 S PLYMOUTH CT,201409,201,4,18,447831.0724,4636112.486,1,0.324503311,2.774834437
19,B201410,4,41.87515566,-87.62918405,1.248,30,13,18,425,151,8305,8637,S,E, 505 - 525 S DEARBORN ST ,505,525,525 S DEARBORN ST,201410,201,4,19,447790.6294,4636106.407,1,0.284768212,2.814569536
