COLID,BlockID,MaxCurrentRate,Latitude,Longitude,Average.Duration.of.Paid.Parkers.in.Hours,Unpaid.Vehicles,Expired.Vehicles,Exempt.Vehicles,Spaces.Occupied,Survey.Count,Receipt.Transactions,Mobile.Transactions,StreetDirection,StreetSide,BlockDescription,BlockStartNumber,BlockEndNumber,TerminalLocationAddress,TerminalID,Area,Zone,ID,X,Y,megaCluster,Demand,Cars,ExpectedTimePerVehicle,PercentageCheck,TerminalTypeName,Driving_Blocks,Night_Blocks
1,B101101,2,41.99854464,-87.67067917,0.844,40,3,1,123,30,7184,3566,N,E, 6401 - 6401 N CLARK ST ,6401,6401,6401 N CLARK ST,101101,101,1,1,444454.5456,4649832.168,0,1.433333333,4.1,21.90707916,1,MP104,0,0
2,B200401,4,41.89010277,-87.64533162,1.601,122,36,8,1073,211,4534,5867,W,S, 637 - 655 W HUBBARD ST ,637,655,651 W HUBBARD ST,200402,200,4,2,446463.1853,4637775.894,1,0.748815166,5.085308057,22.60868462,1,MP104,0,0
3,B200403,4,41.89007082,-87.64709584,1.578,44,16,1,411,200,2258,2838,W,S, 723 - 745 W HUBBARD ST ,723,745,739 W HUBBARD ST,200404,200,4,3,446316.7979,4637773.449,1,0.3,2.055,22.55983512,1,MP104,0,0
4,B200405,4,41.89010926,-87.64675856,1.489,25,16,2,214,198,1162,1674,W,N, 708 - 726 W HUBBARD ST ,708,726,718 W HUBBARD ST,200405,200,4,4,446344.811,4637777.506,1,0.207070707,1.080808081,23.45232169,1,MP104,0,0
5,B200406,4,41.89013672,-87.64503121,1.545,53,15,17,520,201,1756,3158,W,N, 640 - 650 W HUBBARD ST ,640,650,646 W HUBBARD ST,200406,200,4,5,446488.1358,4637779.476,1,0.338308458,2.587064677,23.85718658,1,MP104,0,0
6,B200407,4,41.89059296,-87.64433451,1.245,18,7,2,164,192,940,1335,N,E, 463 - 475 N DESPLAINES ST ,463,475,469 N DESPLAINES ST,200407,200,4,6,446546.3148,4637829.697,1,0.130208333,0.854166667,23.19114688,1,MP104,0,0
7,B200408,4,41.88904201,-87.64357746,1.176,47,8,1,347,212,2291,2939,W,S, 603 - 629 W KINZIE ST ,603,629,617 W KINZIE ST,200408,200,4,7,446607.8281,4637657.027,1,0.259433962,1.636792453,22.7735748,1,MP104,0,0
8,B200409,4,41.89012723,-87.64384501,1.563,16,3,0,111,195,381,470,W,S, 619 - 629 W HUBBARD ST ,619,629,625 W HUBBARD ST,200409,200,4,8,446586.5357,4637777.683,1,0.097435897,0.569230769,23.07117677,1,MP104,0,0
9,B200410,4,41.89194321,-87.64584057,0.852,84,40,12,509,193,6567,3815,N,W, 540 - 550 N UNION AVE ,540,550,546 N UNION AVE,200410,200,4,9,446422.5006,4637980.551,0,0.642487047,2.637305699,20.64482969,1,MP104,0,0
10,B200411,4,41.88905449,-87.64236711,1.191,140,32,1,900,201,4365,8289,W,S, 545 - 601 W KINZIE ST ,545,601,575 W KINZIE ST,200411,200,4,10,446708.2514,4637657.66,1,0.855721393,4.47761194,24.52552002,1,MP104,0,0
11,B200412,4,41.88879891,-87.64295049,1.192,109,21,0,576,214,2822,3619,N,W, 352 - 390 N JEFFERSON ST ,352,390,370 N JEFFERSON ST,200412,200,4,11,446659.6404,4637629.646,1,0.607476636,2.691588785,23.35868882,1,MP104,0,0
12,B200413,4,41.88879292,-87.64291026,1.184,80,18,1,432,209,2005,3086,N,E, 351 - 391 N JEFFERSON ST ,351,391,371 N JEFFERSON ST,200413,200,4,12,446662.973,4637628.956,1,0.468899522,2.066985646,24.13878892,1,MP104,0,0
13,B201402,4,41.87285487,-87.63163358,1.192,106,24,8,373,110,3042,3698,S,E, 603 - 753 S LA SALLE ST ,603,753,745 S LASALLE ST,201402,201,4,13,447585.4879,4635852.45,1,1.181818182,3.390909091,24.44510386,1,MP104,0,0
14,B201405,4,41.8747028,-87.62965143,1.296,12,6,5,132,110,2020,1615,S,E, 503 - 551 S FEDERAL ST ,503,551,547 S FEDERAL ST,201405,201,4,14,447751.4774,4636056.412,1,0.163636364,1.2,20.55295736,1,MP104,0,0
15,B201406,4,41.87429387,-87.62964673,1.374,58,16,34,450,117,5826,7063,S,E, 611 - 641 S FEDERAL ST ,611,641,623 S FEDERAL ST,201406,201,4,15,447751.5344,4636011.007,1,0.632478632,3.846153846,22.66197166,1,MP104,0,0
16,B201407,4,41.87291129,-87.62961119,1.411,41,15,53,456,117,4090,5592,S,E, 743 - 789 S FEDERAL ST ,743,789,747 S FEDERAL ST,201407,201,4,16,447753.3575,4635857.481,1,0.478632479,3.897435897,22.79313129,1,MP104,0,0
17,B201408,4,41.87386697,-87.62868583,1.396,62,41,28,582,125,6782,8248,S,W, 606 - 638 S PLYMOUTH CT ,606,638,632 S PLYMOUTH CT,201408,201,4,17,447830.9236,4635963.025,1,0.824,4.656,22.72262993,1,MP104,0,0
18,B201409,4,41.87521308,-87.62869723,1.351,27,9,25,250,116,3739,4608,S,W, 514 - 534 S PLYMOUTH CT ,514,534,526 S PLYMOUTH CT,201409,201,4,18,447831.0724,4636112.486,1,0.310344828,2.155172414,22.5624165,1,MP104,0,0
19,B201410,4,41.87515566,-87.62918405,1.188,22,6,11,254,117,5434,5514,S,E, 505 - 525 S DEARBORN ST ,505,525,525 S DEARBORN ST,201410,201,4,19,447790.6294,4636106.407,1,0.239316239,2.170940171,21.31950304,1,MP104,0,0
20,B202401,4,41.89312322,-87.64006175,1.318,176,33,24,1018,184,5823,14319,W,N, 346 - 444 W ONTARIO ST ,346,444,428 W ONTARIO ST,202402,202,4,20,446902.8782,4638107.972,0,1.135869565,5.532608696,25.5329889,1,MP104,0,1
21,B202403,4,41.89300449,-87.64101998,1.065,22,4,0,117,171,1329,2171,N,E, 617 - 625 N KINGSBURY ST ,617,625,623 N KINGSBURY ST,202403,202,4,21,446823.2882,4638095.383,0,0.152046784,0.684210526,24.28620408,1,MP104,0,0
22,B202404,4,41.89311673,-87.63887689,1.244,84,10,4,336,163,2727,6082,W,S, 365 - 457 W ONTARIO ST ,365,457,371 W ONTARIO ST,202404,202,4,22,447001.1648,4638106.519,0,0.576687117,2.061349693,25.70434147,1,MP104,0,0
23,B203401,4,41.89329792,-87.62580782,1.219,10,3,0,116,174,2990,3335,E,S, 45 - 53 E ONTARIO ST ,45,53,45 E ONTARIO ST,203401,203,4,23,448085.4775,4638118.646,1,0.074712644,0.666666667,21.72727273,1,MP104,0,1
