COLID,BlockID,MaxCurrentRate,Latitude,Longitude,Average.Duration.of.Paid.Parkers.in.Hours,Unpaid.Vehicles,Expired.Vehicles,Exempt.Vehicles,Spaces.Occupied,Survey.Count,Receipt.Transactions,Mobile.Transactions,StreetDirection,StreetSide,BlockDescription,BlockStartNumber,BlockEndNumber,TerminalLocationAddress,TerminalID,Area,Zone,ID,X,Y,megaCluster,Demand,Cars,ExpectedTimePerVehicle,PercentageCheck,TerminalTypeName,NumberOfSpaces
1,B202401,4,41.89312322,-87.64006175,1.093741497,25,8,3,122,44,540,930,W,N,346 - 444 W ONTARIO ST,346,444,428 W ONTARIO ST,202402,202,4,1,446902.8782,4638107.972,0,0.75,2.772727273,24.87736379,1,MP104,27
2,B203401,4,41.89329792,-87.62580782,1.090528028,2,2,0,48,59,760,572,E,S,45 - 53 E ONTARIO ST,45,53,45 E ONTARIO ST,203401,203,4,2,448085.4775,4638118.646,0,0.06779661,0.813559322,19.62598963,1,MP104,3
3,B203402,4,41.89326897,-87.62780204,1.099281089,4,8,5,123,66,1351,1686,E,S,7 - 47 E ONTARIO ST,7,47,9 E ONTARIO ST,203402,203,4,3,447920.0207,4638116.64,0,0.181818182,1.863636364,22.05630556,1,MP104,8
4,B203403,4,41.89326149,-87.62828015,1.059308013,9,3,2,79,67,1103,1214,W,S,3 - 21 W ONTARIO ST,3,21,9 W ONTARIO ST,203403,203,4,4,447880.3523,4638116.1,0,0.179104478,1.179104478,22.04415251,1,MP104,6
5,B203404,4,41.89323853,-87.63021067,1.136692416,1,0,0,56,66,824,600,W,S,49 - 71 W ONTARIO ST,49,71,57 W ONTARIO ST,203404,203,4,5,447720.1845,4638114.725,0,0.015151515,0.848484848,18.65842697,1,MP104,8
6,B203405,4,41.89318861,-87.63338372,1.05841005,9,5,0,86,70,764,974,W,S,145 - 165 W ONTARIO ST,145,165,157 W ONTARIO ST,203405,203,4,6,447456.9186,4638111.121,0,0.2,1.228571429,22.74683544,1,MP104,6
7,B204401,4,41.89345865,-87.61720531,1.165241121,93,22,17,524,154,932,1114,E,N,410 - 454 E ONTARIO ST,410,454,428 E ONTARIO ST,204402,204,4,7,448799.2388,4638131.322,0,0.746753247,3.402597403,23.38407113,1,MP104,12
8,B204403,4,41.89344368,-87.61642747,1.157675036,67,20,7,379,156,920,713,E,S,439 - 467 E ONTARIO ST,439,467,451 E ONTARIO ST,204403,204,4,8,448863.7535,4638129.196,0,0.557692308,2.429487179,21.54929577,1,MP104,7
9,B212402,4,41.89185785,-87.61703633,1.203650396,77,16,19,476,119,1088,1309,E,N,410 - 440 E GRAND AVE,410,440,426 E GRAND AVE,212402,212,4,9,448811.9786,4637953.489,0,0.781512605,4,22.82346176,1,MP104,8
10,B212403,4,41.88999944,-87.61857323,1.243110203,176,67,20,870,140,1965,1949,N,W,414 - 452 N NEW ST,414,452,422 N NEW ST,212404,212,4,10,448682.9927,4637748.072,0,1.735714286,6.214285714,22.90590078,1,MP104,11
11,B212407,4,41.88951174,-87.61723816,1.144161148,71,19,4,311,131,723,787,E,S,343 - 349 E NORTH WATER ST,343,349,347 E NORTH WATER ST,212407,212,4,11,448793.3614,4637693.126,0,0.687022901,2.374045802,23.27766326,1,MP104,4
12,B212408,4,41.89079465,-87.61765189,1.185018548,106,33,12,549,131,1522,1623,N,E,415 - 465 N MCCLURG CT,415,465,463 N MCCLURG CT,212412,212,4,12,448760.0631,4637835.812,0,1.061068702,4.190839695,22.89353643,1,MP104,12
13,B212409,4,41.89080461,-87.61768274,1.172809306,39,18,2,264,129,864,669,N,W,452 - 456 N MCCLURG CT,452,456,454 N MCCLURG CT,212409,212,4,13,448757.5118,4637836.936,0,0.441860465,2.046511628,21.22800338,1,MP104,3
14,B212410,4,41.89182741,-87.61852428,1.241825141,75,31,17,542,122,1286,1501,E,N,334 - 346 E GRAND AVE,334,346,340 E GRAND AVE,212410,212,4,14,448688.5166,4637950.998,0,0.868852459,4.442622951,22.69708348,1,MP104,9
15,B213401,4,41.89265501,-87.61701152,1.148985177,182,63,54,1014,140,1873,2512,E,N,404 - 454 E OHIO ST,404,454,416 E OHIO ST,213402,213,4,15,448814.6733,4638041.98,0,1.75,7.242857143,23.76482169,1,MP104,15
16,B213403,4,41.89263055,-87.61877708,1.151520318,102,22,14,647,136,531,1815,E,N,352 - 358 E OHIO ST,352,358,356 E OHIO ST,213403,213,4,16,448668.1878,4638040.319,0,0.911764706,4.757352941,26.41814565,1,MP104,14
17,B213404,4,41.89259911,-87.61912577,1.180983345,116,37,15,732,128,2217,2166,E,S,301 - 351 E OHIO ST,301,351,343 E OHIO ST,213406,213,4,17,448639.2362,4638037.037,0,1.1953125,5.71875,22.14982417,1,MP104,14
18,B214402,4,41.89424381,-87.61704437,1.091770258,60,12,65,430,150,748,700,E,S,411 - 455 E ERIE ST,411,455,421 E ERIE ST,214402,214,4,18,448813.2167,4638218.401,0,0.48,2.866666667,21.92950343,1,MP104,8
19,B214404,4,41.89427626,-87.61680968,1.117605333,117,30,90,741,149,1735,1390,E,N,416 - 460 E ERIE ST,416,460,420 E ERIE ST,214404,214,4,19,448832.7114,4638221.863,0,0.986577181,4.973154362,21.63015075,1,MP104,16
20,B214405,4,41.89422385,-87.61985935,1.122328673,50,21,44,400,160,1066,865,E,N,312 - 350 E ERIE ST,312,350,316 E ERIE ST,214408,214,4,20,448579.6837,4638217.868,0,0.44375,2.5,21.34177765,1,MP104,4
