,Block ID,Cluster ID,Expected Time,Route ID,RouteOrder,block check time,car check time,crossing time,distance,origin_flg,street crossings,ticket writing time,total tickets,travel time
0,starting by termial: LAZ GARAGE,60,0,1,0,0,0,0,0,True,0,0,0,0
1,B200401,60,3154,1,1,120,0,900,2860,False,15,0,0,2134
2,B200405,60,3626,1,2,240,114,960,2979,False,16,89,0,2223
3,B200403,60,3878,1,3,360,139,1020,3011,False,17,113,0,2246
4,starting by termial: LAZ GARAGE,60,0,2,0,0,0,0,0,True,0,0,0,0
5,B200411,60,2763,2,1,120,0,780,2497,False,13,0,0,1863
6,B200415,60,3395,2,2,240,109,840,2820,False,14,102,0,2104
7,B200414,60,3614,2,3,360,115,900,2860,False,15,105,0,2134
8,B200406,60,4063,2,4,480,149,960,3115,False,16,150,1,2324
9,starting by termial: LAZ GARAGE,60,0,3,0,0,0,0,0,True,0,0,0,0
10,B200408,60,2897,3,1,120,0,840,2596,False,14,0,0,1937
11,B200409,60,3250,3,2,240,37,900,2737,False,15,31,0,2042
12,B200407,60,3522,3,3,360,50,960,2829,False,16,42,0,2110
13,starting by termial: LAZ GARAGE,60,0,4,0,0,0,0,0,True,0,0,0,0
14,B386411,60,2607,4,1,120,0,720,2368,False,12,0,0,1767
15,B386412,60,2874,4,2,240,47,720,2465,False,12,28,0,1839
16,B386404,60,3143,4,3,360,80,780,2468,False,13,82,0,1841
17,B386403,60,3416,4,4,480,116,780,2576,False,13,119,0,1921
18,B386401,60,3661,4,5,600,122,780,2727,False,13,126,1,2033
19,B386402,60,3919,4,6,720,151,840,2731,False,14,172,1,2036
20,starting by termial: LAZ GARAGE,60,0,5,0,0,0,0,0,True,0,0,0,0
21,B260402,60,2595,5,1,120,0,720,2352,False,12,0,0,1755
22,B260401,60,2847,5,2,240,37,780,2358,False,13,31,0,1759
23,B257418,60,3108,5,3,360,90,780,2417,False,13,75,0,1803
24,B257406,60,3360,5,4,480,114,840,2461,False,14,90,0,1836
25,B260414,60,3717,5,5,600,139,900,2637,False,15,111,0,1967
26,B260415,60,4050,5,6,720,230,900,2690,False,15,194,1,2006
27,starting by termial: LAZ GARAGE,60,0,6,0,0,0,0,0,True,0,0,0,0
28,B907413,60,2574,6,1,120,0,720,2323,False,12,0,0,1734
29,B907406,60,2904,6,2,240,56,780,2384,False,13,48,0,1780
30,B907412,60,3227,6,3,360,131,840,2392,False,14,110,0,1786
31,B259411,60,3459,6,4,480,175,840,2442,False,14,141,1,1823
