,Block ID,Cluster ID,Expected Time,Route ID,RouteOrder,block check time,car check time,crossing time,distance,origin_flg,street crossings,ticket writing time,total tickets,travel time
0,starting by termial: LAZ GARAGE,60,0,1,0,0,0,0,0,True,0,0,0,0
1,B263413,60,1959,1,1,120,0,180,2223,False,12,0,0,1659
2,B386403,60,2483,1,2,240,82,195,2574,False,13,45,0,1921
3,B386401,60,2728,1,3,360,88,195,2725,False,13,52,0,2033
4,B386402,60,2941,1,4,480,117,210,2729,False,14,98,0,2036
5,B259406,60,3173,1,5,600,117,210,2878,False,14,99,0,2147
6,B259411,60,3347,1,6,720,130,225,2883,False,15,121,1,2151
7,B386410,60,3657,1,7,840,146,240,3082,False,16,132,1,2299
8,B386406,60,3870,1,8,960,191,255,3090,False,17,159,1,2305
9,B262403,60,4167,1,9,1080,253,270,3168,False,18,201,1,2363
10,starting by termial: LAZ GARAGE,60,0,2,0,0,0,0,0,True,0,0,0,0
11,B260415,60,2123,2,1,120,0,195,2423,False,13,0,0,1808
12,B200415,60,2826,2,2,240,119,210,2819,False,14,154,1,2103
13,B200414,60,3000,2,3,360,125,225,2859,False,15,157,1,2133
14,B200405,60,3303,2,4,480,159,240,2978,False,16,202,1,2222
15,B200403,60,3510,2,5,600,184,255,3010,False,17,226,1,2245
16,B200408,60,4046,2,6,720,230,285,3417,False,19,262,2,2549
17,B200412,60,4293,2,7,840,267,285,3496,False,19,293,2,2608
18,B200413,60,4565,2,8,960,329,300,3500,False,20,365,3,2611
19,B200411,60,4845,2,9,1080,378,300,3573,False,20,421,3,2666
20,starting by termial: LAZ GARAGE,60,0,3,0,0,0,0,0,True,0,0,0,0
21,B260406,60,1958,3,1,120,0,165,2241,False,11,0,0,1673
22,B824901,60,2194,3,2,240,25,180,2323,False,12,15,0,1734
23,B260412,60,2428,3,3,360,82,180,2334,False,12,64,0,1742
24,B260413,60,2651,3,4,480,122,195,2361,False,13,92,0,1762
25,B385403,60,2903,3,5,600,149,195,2459,False,13,124,1,1835
26,B385408,60,3181,3,6,720,216,210,2473,False,14,190,1,1845
27,B260402,60,3498,3,7,840,265,225,2598,False,15,230,1,1938
28,B260401,60,3705,3,8,960,302,240,2604,False,16,261,2,1942
29,B257406,60,3983,3,9,1080,355,240,2686,False,16,305,2,2003
30,B257418,60,4197,3,10,1200,380,255,2730,False,17,326,2,2036
31,B260414,60,4454,3,11,1320,404,255,2861,False,17,341,2,2134
32,B260407,60,4966,3,12,1440,495,270,3134,False,18,424,3,2337
33,starting by termial: LAZ GARAGE,60,0,4,0,0,0,0,0,True,0,0,0,0
34,B907407,60,1932,4,1,120,0,165,2207,False,11,0,0,1647
35,B907405,60,2416,4,2,240,99,180,2477,False,12,48,0,1849
36,B290402,60,2734,4,3,360,174,180,2543,False,12,122,1,1898
37,B259409,60,3081,4,4,480,238,195,2627,False,13,207,1,1961
38,B259408,60,3383,4,5,600,304,195,2706,False,13,264,2,2020
39,starting by termial: LAZ GARAGE,60,0,5,0,0,0,0,0,True,0,0,0,0
40,B240409,60,1822,5,1,120,0,165,2060,False,11,0,0,1537
41,B240415,60,2162,5,2,240,81,180,2144,False,12,62,0,1599
42,B240404,60,2350,5,3,360,110,195,2151,False,13,81,0,1604
43,B240405,60,2572,5,4,480,133,195,2242,False,13,93,0,1671
44,B241412,60,2952,5,5,600,190,195,2452,False,13,140,1,1827
45,B200407,60,3786,5,6,720,213,255,3278,False,17,155,1,2443
46,B200409,60,4023,5,7,840,232,270,3370,False,18,170,1,2511
47,B200406,60,4256,5,8,960,245,285,3470,False,19,181,1,2585
48,B200401,60,4513,5,9,1080,306,300,3498,False,20,221,1,2606
49,starting by termial: LAZ GARAGE,60,0,6,0,0,0,0,0,True,0,0,0,0
50,B239408,60,1760,6,1,120,0,150,1997,False,10,0,0,1490
51,B239409,60,2073,6,2,240,74,150,2079,False,10,58,0,1551
52,B239410,60,2347,6,3,360,128,165,2143,False,11,95,0,1599
53,B356405,60,2851,6,4,480,222,195,2378,False,13,180,1,1774
54,B240403,60,3296,6,5,600,348,195,2476,False,13,306,2,1847
55,B240418,60,3521,6,6,720,351,195,2611,False,13,307,2,1948
56,B240420,60,3700,6,7,840,377,210,2616,False,14,322,2,1951
57,B241409,60,3979,6,8,960,434,210,2688,False,14,371,3,2004
58,B241410,60,4168,6,9,1080,470,225,2693,False,15,386,3,2007
59,B815913,60,4360,6,10,1200,484,240,2733,False,16,399,3,2037
60,B240401,60,4632,6,11,1320,541,255,2775,False,17,448,3,2068
61,B240414,60,4900,6,12,1440,575,270,2872,False,18,475,3,2140
62,starting by termial: LAZ GARAGE,60,0,7,0,0,0,0,0,True,0,0,0,0
63,B385406,60,1705,7,1,120,0,135,1943,False,9,0,0,1450
64,B385401,60,2006,7,2,240,102,150,1948,False,10,60,0,1454
65,B385407,60,2351,7,3,360,159,165,2087,False,11,109,0,1558
66,B385402,60,2617,7,4,480,236,180,2097,False,12,156,1,1565
67,B261408,60,3001,7,5,600,330,195,2211,False,13,226,1,1650
68,B261409,60,3177,7,6,720,347,210,2229,False,14,237,1,1663
69,B261402,60,3452,7,7,840,396,210,2325,False,14,272,2,1734
70,B257408,60,3849,7,8,960,468,210,2535,False,14,321,2,1890
71,B257407,60,4179,7,9,1080,537,210,2642,False,14,382,3,1970
72,B257405,60,4409,7,10,1200,581,225,2647,False,15,429,3,1974
73,B385404,60,4641,7,11,1320,618,225,2723,False,15,448,3,2030
74,B385409,60,4923,7,12,1440,683,240,2755,False,16,506,4,2054
75,starting by termial: LAZ GARAGE,60,0,8,0,0,0,0,0,True,0,0,0,0
76,B239407,60,1671,8,1,120,0,150,1877,False,10,0,0,1401
77,B815903,60,2143,8,2,240,177,150,1972,False,10,104,0,1472
78,B239404,60,2314,8,3,360,181,165,2004,False,11,112,0,1496
79,B240408,60,2592,8,4,480,248,180,2056,False,12,149,1,1535
80,B239403,60,2827,8,5,600,277,195,2130,False,13,165,1,1590
81,B239402,60,3109,8,6,720,362,210,2149,False,14,213,1,1604
82,B356403,60,3351,8,7,840,405,210,2227,False,14,234,1,1662
83,B815902,60,3743,8,8,960,550,225,2254,False,15,326,2,1682
84,B815901,60,3923,8,9,1080,552,240,2302,False,16,334,2,1717
85,B611401,60,4230,8,10,1200,609,255,2390,False,17,383,3,1783
86,B356407,60,4697,8,11,1320,759,255,2522,False,17,482,4,1881
87,B240402,60,5031,8,12,1440,792,270,2717,False,18,502,4,2027
88,starting by termial: LAZ GARAGE,60,0,9,0,0,0,0,0,True,0,0,0,0
89,B261411,60,1518,9,1,120,0,135,1692,False,9,0,0,1263
90,B261410,60,1776,9,2,240,61,150,1709,False,10,49,0,1276
91,B385405,60,2129,9,3,360,127,150,1864,False,10,100,0,1392
92,B262401,60,2582,9,4,480,238,165,1989,False,11,214,1,1485
93,B260410,60,2986,9,5,600,295,180,2207,False,12,263,2,1648
94,B259402,60,3303,9,6,720,362,195,2296,False,13,312,2,1714
95,B259410,60,3606,9,7,840,435,210,2323,False,14,387,3,1734
96,B386408,60,3976,9,8,960,472,225,2568,False,15,402,3,1917
97,B386407,60,4238,9,9,1080,554,240,2580,False,16,438,3,1926
