,Block ID,Cluster ID,Expected Time,Route ID,RouteOrder,block check time,car check time,crossing time,distance,origin_flg,street crossings,ticket writing time,total tickets,travel time
0,starting by termial: B203405,0,0,1,0,0,0,0,0,True,0,0,0,0
1,B237401,0,257,1,1,120,0,60,103,False,1,0,0,77
2,B242403,0,559,1,2,240,15,120,217,False,2,22,0,162
3,B243405,0,879,1,3,360,47,180,288,False,3,77,0,215
4,B243412,0,1289,1,4,480,113,240,401,False,4,157,1,299
5,B243406,0,1565,1,5,600,157,300,418,False,5,196,1,312
6,B244404,0,1772,1,6,720,178,300,495,False,5,205,1,369
7,B244408,0,2084,1,7,840,194,360,621,False,6,227,1,463
8,B244406,0,2360,1,8,960,236,360,730,False,6,260,2,544
9,B244416,0,2602,1,9,1080,256,420,738,False,7,296,2,550
10,B244413,0,2889,1,10,1200,265,480,858,False,8,305,2,639
11,B374417,0,3241,1,11,1320,303,480,1031,False,8,370,3,768
12,B374418,0,3510,1,12,1440,329,540,1035,False,9,430,3,771
13,B546407,0,4465,1,13,1560,358,780,1687,False,13,510,4,1257
14,B546406,0,4774,1,14,1680,386,780,1814,False,13,576,4,1352
15,B202401,0,5399,1,15,1800,407,900,2222,False,15,636,5,1656
16,B241413,0,6117,1,16,1920,475,1020,2651,False,17,726,6,1976
17,starting by termial: B203405,0,0,2,0,0,0,0,0,True,0,0,0,0
18,B238404,0,265,2,1,120,0,0,194,False,0,0,0,145
19,B240413,0,647,2,2,240,32,60,376,False,1,34,0,281
20,B240412,0,894,2,3,360,68,60,465,False,1,58,0,348
21,B230402,0,1365,2,4,480,122,120,730,False,2,98,0,545
22,B231410,0,1640,2,5,600,145,180,800,False,3,118,0,597
23,B231406,0,1923,2,6,720,169,240,883,False,4,135,1,659
24,B231411,0,2203,2,7,840,210,240,1014,False,4,157,1,756
25,B232407,0,2477,2,8,960,257,300,1032,False,5,190,1,770
26,B231407,0,2756,2,9,1080,317,300,1109,False,5,232,1,827
27,B232408,0,3101,2,10,1200,395,300,1207,False,5,306,2,900
28,B232404,0,3564,2,11,1320,495,360,1300,False,6,420,3,969
29,B232401,0,3965,2,12,1440,576,420,1348,False,7,524,4,1005
30,B234408,0,4400,2,13,1560,611,480,1612,False,8,547,4,1202
31,B235407,0,4676,2,14,1680,633,540,1682,False,9,569,4,1254
32,B235406,0,4886,2,15,1800,648,600,1697,False,10,573,4,1265
33,B234405,0,5103,2,16,1920,669,600,1781,False,10,586,4,1328
34,B234414,0,5455,2,17,2040,698,660,1936,False,11,613,5,1444
35,B236417,0,5741,2,18,2160,718,660,2097,False,11,639,5,1564
36,B237410,0,6080,2,19,2280,736,720,2271,False,12,650,5,1694
37,starting by termial: B203405,0,0,3,0,0,0,0,0,True,0,0,0,0
38,B241405,0,283,3,1,120,0,0,219,False,0,0,0,163
39,B241407,0,550,3,2,240,27,60,244,False,1,42,0,181
40,B241412,0,830,3,3,360,61,60,364,False,1,78,0,271
41,B240405,0,1140,3,4,480,78,60,574,False,1,95,0,427
42,B356405,0,1440,3,5,600,115,60,720,False,1,129,1,536
43,B611401,0,1930,3,6,720,205,120,852,False,2,251,2,634
44,B356407,0,2342,3,7,840,304,120,984,False,2,346,2,732
