,Block ID,Cluster ID,Expected Time,Route ID,RouteOrder,block check time,car check time,crossing time,distance,origin_flg,street crossings,ticket writing time,total tickets,travel time
0,starting by termial: B444212,0,0,1,0,0,0,0,0,True,0,0,0,0
1,B444212,0,120,1,1,120,0,0,0,False,0,0,0,0
2,starting by termial: B444212,0,0,2,0,0,0,0,0,True,0,0,0,0
3,B444201,0,254,2,1,120,0,60,99,False,1,0,0,74
4,B441210,0,976,2,2,240,42,240,581,False,4,20,0,434
5,B928203,0,1212,2,3,360,80,240,652,False,4,45,0,487
6,B444205,0,2036,2,4,480,163,420,1145,False,7,118,0,855
7,B445216,0,2571,2,5,600,201,540,1445,False,9,151,1,1079
8,B445214,0,2860,2,6,720,222,600,1553,False,10,159,1,1159
9,B445212,0,3129,2,7,840,243,660,1620,False,11,177,1,1209
10,B445210,0,3450,2,8,960,324,660,1700,False,11,238,1,1268
11,B445209,0,3767,2,9,1080,396,720,1735,False,12,277,2,1294
12,B428201,0,4014,2,10,1200,417,720,1865,False,12,286,2,1391
13,B339206,0,5333,2,11,1320,618,1080,2578,False,18,392,3,1923
14,B339203,0,5796,2,12,1440,718,1140,2725,False,19,465,3,2033
15,B339208,0,6329,2,13,1560,798,1200,3012,False,20,524,4,2247
16,B339201,0,6653,2,14,1680,834,1260,3109,False,21,559,4,2320
17,starting by termial: B444212,0,0,3,0,0,0,0,0,True,0,0,0,0
18,B924221,0,366,3,1,120,0,120,169,False,2,0,0,126
19,B924215,0,979,3,2,240,94,240,398,False,4,108,0,297
20,B924222,0,1308,3,3,360,183,300,412,False,5,158,1,307
21,B924203,0,1744,3,4,480,289,360,490,False,6,250,2,365
22,B924223,0,2058,3,5,600,357,420,507,False,7,304,2,377
23,B924201,0,2673,3,6,720,459,540,745,False,9,399,3,555
24,B924224,0,3069,3,7,840,556,600,776,False,10,495,4,578
25,B337205,0,3334,3,8,960,565,660,867,False,11,503,4,646
26,B337207,0,3632,3,9,1080,644,660,912,False,11,568,4,680
27,B337204,0,4240,3,10,1200,749,780,1182,False,13,630,5,881
28,B337203,0,4570,3,11,1320,775,840,1324,False,14,648,5,987
29,B337209,0,4792,3,12,1440,816,840,1368,False,14,677,5,1019
30,B924204,0,5513,3,13,1560,863,1080,1744,False,18,711,5,1299
31,B924205,0,5751,3,14,1680,891,1140,1747,False,19,739,6,1301
32,B924225,0,6054,3,15,1800,918,1200,1849,False,20,759,6,1377
33,B924214,0,6226,3,16,1920,931,1200,1894,False,20,765,6,1410
34,B924216,0,6513,3,17,2040,952,1200,2067,False,20,782,6,1539
35,B924217,0,6808,3,18,2160,1005,1260,2070,False,21,842,7,1541
36,B924218,0,7119,3,19,2280,1074,1260,2160,False,21,897,7,1608
37,starting by termial: B444212,0,0,4,0,0,0,0,0,True,0,0,0,0
38,B924220,0,379,4,1,120,0,60,267,False,1,0,0,199
39,B924219,0,769,4,2,240,99,120,271,False,2,108,0,202
40,B444209,0,1449,4,3,360,211,300,477,False,5,222,1,356
41,B444213,0,1620,4,4,480,237,300,488,False,5,239,1,364
42,B444208,0,1981,4,5,600,294,360,588,False,6,288,2,439
43,B444204,0,2570,4,6,720,410,480,797,False,8,365,3,595
44,B444202,0,2873,4,7,840,444,540,886,False,9,388,3,661
45,B445217,0,3281,4,8,960,571,540,972,False,9,485,4,725
46,B445201,0,3579,4,9,1080,639,600,983,False,10,527,4,733
47,B445202,0,3847,4,10,1200,703,600,1041,False,10,568,4,776
48,B445203,0,4055,4,11,1320,714,660,1048,False,11,580,4,781
49,B445215,0,4304,4,12,1440,725,720,1115,False,12,588,4,831
