,Block ID,Cluster ID,Expected Time,Route ID,RouteOrder,block check time,car check time,crossing time,distance,origin_flg,street crossings,ticket writing time,total tickets,travel time
0,starting by termial: L107802,0,0,1,0,0,0,0,0,True,0,0,0,0
1,B491124,0,792,1,1,120,0,98,770,False,4,0,0,574
2,B492112,0,1295,1,2,240,84,122,1044,False,5,69,0,779
3,B492101,0,1568,1,3,360,90,146,1176,False,6,93,0,878
4,B492102,0,1887,1,4,480,126,146,1307,False,6,158,1,976
5,B492110,0,2166,1,5,600,211,170,1314,False,7,203,1,981
6,B492111,0,2428,1,6,720,234,170,1413,False,7,248,2,1055
7,B450113,0,3026,1,7,840,270,219,1860,False,9,308,2,1388
8,B450105,0,3588,1,8,960,355,268,2101,False,11,436,3,1568
9,B450107,0,4023,1,9,1080,475,292,2134,False,12,582,4,1592
10,B450103,0,4419,1,10,1200,506,341,2359,False,14,610,5,1760
11,B450109,0,4706,1,11,1320,580,341,2403,False,14,670,5,1793
12,B450111,0,5055,1,12,1440,625,365,2546,False,15,723,6,1900
13,B450101,0,5289,1,13,1560,633,389,2637,False,16,736,6,1968
14,B465112,0,6255,1,14,1680,690,536,3424,False,22,790,6,2556
15,B465114,0,6502,1,15,1800,730,560,3485,False,23,807,6,2601
16,B465111,0,6734,1,16,1920,755,584,3542,False,24,827,6,2644
17,B465110,0,6975,1,17,2040,783,608,3569,False,25,875,7,2664
18,starting by termial: L107802,0,0,2,0,0,0,0,0,True,0,0,0,0
19,B920101,0,472,2,1,120,0,49,406,False,2,0,0,303
20,B920102,0,779,2,2,240,36,73,509,False,3,50,0,380
21,B920110,0,1082,2,3,360,89,97,589,False,4,96,0,440
22,B468118,0,1732,2,4,480,202,170,855,False,7,241,2,638
23,B468101,0,1990,2,5,600,240,194,871,False,8,304,2,650
24,B920105,0,2302,2,6,720,302,194,955,False,8,371,3,713
25,B920106,0,2628,2,7,840,385,194,1046,False,8,426,3,781
26,B920107,0,3105,2,8,960,529,218,1070,False,9,597,4,799
27,B467123,0,3916,2,9,1080,662,291,1508,False,12,754,6,1126
28,B467105,0,4148,2,10,1200,692,315,1560,False,13,773,6,1165
29,B467108,0,4436,2,11,1320,765,339,1610,False,14,806,6,1203
30,B491140,0,5398,2,12,1440,833,461,2428,False,19,847,7,1813
31,B491101,0,5585,2,13,1560,852,485,2442,False,20,860,7,1824
32,B491137,0,5919,2,14,1680,914,485,2526,False,20,950,7,1886
33,B491120,0,6121,2,15,1800,925,509,2589,False,21,950,7,1933
34,B491121,0,6284,2,16,1920,931,533,2595,False,22,959,7,1937
35,B491128,0,6573,2,17,2040,958,557,2691,False,23,1005,8,2009
36,starting by termial: L107802,0,0,3,0,0,0,0,0,True,0,0,0,0
37,B465113,0,556,3,1,120,0,122,421,False,5,0,0,314
38,B465109,0,811,3,2,240,41,122,477,False,5,52,0,356
39,B465103,0,1144,3,3,360,71,146,640,False,6,88,0,478
40,B465104,0,1443,3,4,480,114,146,746,False,6,145,1,557
41,B921110,0,1872,3,5,600,164,195,916,False,8,229,1,683
42,B921101,0,2119,3,6,720,196,195,963,False,8,289,2,718
43,B465106,0,2576,3,7,840,258,219,1158,False,9,395,3,863
44,B465105,0,3033,3,8,960,355,243,1211,False,10,571,4,902
45,B608101,0,3812,3,9,1080,421,341,1754,False,14,661,5,1307
46,B464101,0,4578,3,10,1200,531,414,2170,False,17,813,6,1617
47,B464107,0,4924,3,11,1320,586,438,2261,False,18,893,7,1684
