,Block ID,Cluster ID,Expected Time,Route ID,RouteOrder,block check time,car check time,crossing time,distance,origin_flg,street crossings,ticket writing time,total tickets,travel time
0,starting by termial: B444212,0,0,1,0,0,0,0,0,True,0,0,0,0
1,B444201,0,218,1,1,120,0,24,99,False,1,0,0,74
2,B444208,0,430,1,2,240,42,48,108,False,2,20,0,80
3,B444204,0,948,1,3,360,158,97,317,False,4,97,0,236
4,B445216,0,1295,1,4,480,192,121,512,False,5,120,1,382
5,B445215,0,1518,1,5,600,213,145,580,False,6,128,1,432
6,B445205,0,1959,1,6,720,348,169,631,False,7,251,2,470
7,B445206,0,2134,1,7,840,353,193,655,False,8,258,2,488
8,B445207,0,2336,1,8,960,367,193,714,False,8,282,2,532
9,B445212,0,2569,1,9,1080,423,217,718,False,9,312,2,535
10,B445208,0,2888,1,10,1200,504,241,762,False,10,373,3,567
11,B445211,0,3039,1,11,1320,510,241,790,False,10,377,3,588
12,B445218,0,3258,1,12,1440,531,265,829,False,11,402,3,617
13,B445210,0,3440,1,13,1560,535,289,874,False,12,402,3,651
14,B445209,0,3722,1,14,1680,607,313,909,False,13,441,3,677
15,B428201,0,3969,1,15,1800,628,313,1039,False,13,450,3,774
16,B339206,0,5075,1,16,1920,829,460,1752,False,19,556,4,1306
17,B339203,0,5502,1,17,2040,929,484,1899,False,20,629,5,1416
18,B339208,0,5999,1,18,2160,1009,508,2186,False,21,688,5,1630
19,B339201,0,6288,1,19,2280,1045,532,2283,False,22,723,6,1703
20,B444212,0,7263,1,20,2400,1128,654,3054,False,27,796,6,2279
21,starting by termial: B444212,0,0,2,0,0,0,0,0,True,0,0,0,0
22,B444209,0,193,2,1,120,0,24,66,False,1,0,0,49
23,B924220,0,555,2,2,240,26,73,267,False,3,17,0,199
24,B924219,0,909,2,3,360,125,97,271,False,4,125,1,202
25,B924217,0,1336,2,4,480,237,97,380,False,4,239,1,283
26,B924216,0,1607,2,5,600,306,121,383,False,5,294,2,285
27,B924214,0,1969,2,6,720,359,121,556,False,5,354,2,414
28,B924225,0,2160,2,7,840,380,121,601,False,5,371,3,447
29,B924205,0,2399,2,8,960,393,145,703,False,6,377,3,523
30,B924204,0,2593,2,9,1080,420,169,706,False,7,397,3,525
31,B337209,0,3147,2,10,1200,448,267,1082,False,11,425,3,805
32,B337203,0,3380,2,11,1320,495,267,1126,False,11,459,3,837
33,B337204,0,3701,2,12,1440,536,291,1268,False,12,488,4,943
34,B337207,0,4115,2,13,1560,562,340,1538,False,14,506,4,1144
35,B337205,0,4436,2,14,1680,667,340,1583,False,14,568,4,1178
36,B924224,0,4793,2,15,1800,746,364,1674,False,15,633,5,1246
37,B924201,0,4978,2,16,1920,755,388,1705,False,16,641,5,1269
38,B924223,0,5518,2,17,2040,852,437,1943,False,18,737,6,1447
39,B924203,0,5871,2,18,2160,954,461,1960,False,19,832,6,1459
40,B924222,0,6195,2,19,2280,1022,485,2038,False,20,886,7,1517
41,B924215,0,6547,2,20,2400,1128,509,2052,False,21,978,8,1527
42,B924218,0,6910,2,21,2520,1217,533,2158,False,22,1028,8,1606
43,B924221,0,7268,2,22,2640,1300,557,2281,False,23,1067,8,1697
44,starting by termial: B444212,0,0,3,0,0,0,0,0,True,0,0,0,0
45,B444213,0,162,3,1,120,0,0,56,False,0,0,0,42
46,B441210,0,853,3,2,240,57,73,581,False,3,49,0,434
47,B928203,0,1089,3,3,360,95,73,652,False,3,74,0,487
48,B444205,0,1807,3,4,480,178,146,1145,False,6,147,1,855
49,B444202,0,2192,3,5,600,216,195,1339,False,8,180,1,1000
50,B445217,0,2600,3,6,720,343,195,1425,False,8,277,2,1064
51,B445201,0,2863,3,7,840,411,219,1436,False,9,319,2,1072
52,B445202,0,3131,3,8,960,475,219,1494,False,9,360,3,1115
53,B445203,0,3303,3,9,1080,486,243,1501,False,10,372,3,1120
54,B445204,0,3505,3,10,1200,497,243,1585,False,10,380,3,1183
