,cars,demands,labels,locations,megacluster,streetName,streetSide,clusterID
0,4.477272727,1.545454545,B101101,"[444454.5456, 4649832.168]",0,N CLARK ST,E,17
29,0.0,0.0,B205101,"[439725.6721, 4642947.504]",0,N PULASKI RD,E,7
30,1.0,0.0,B205103,"[439719.521, 4643126.73]",0,N PULASKI RD,W,7
31,1.5,0.0,B205105,"[439720.9469, 4642993.403]",0,N PULASKI RD,W,7
32,1.5,0.5,B205106,"[439722.9432, 4642920.664]",0,N PULASKI RD,W,7
33,2.428571429,1.714285714,B206601,"[444279.6681, 4617412.985]",0,W 103RD ST,S,3
34,1.833333333,1.166666667,B206602,"[444327.0668, 4617388.326]",0,S WALDEN PKWY,W,3
35,2.614194299,0.417808036,B206603,"[444373.8035, 4617393.355]",0,S HALE AVE,E,3
36,3.0,1.8,B206604,"[444420.2836, 4617415.617]",0,W 103RD ST,S,3
37,1.0,1.0,B206605,"[444407.5289, 4617418.439]",0,W 103RD ST,N,3
38,2.614194299,0.417808036,B206606,"[444335.9279, 4617466.073]",0,S WALDEN PKWY,W,3
39,3.4,2.0,B206607,"[444258.1557, 4617415.932]",0,W 103RD ST,N,3
40,3.272727273,0.772727273,B208304,"[445620.918, 4638401.537]",0,N ABERDEEN ST,E,16
41,1.090909091,0.181818182,B208305,"[445619.1016, 4638398.765]",0,N ABERDEEN ST,W,16
42,1.333333333,0.119047619,B208306,"[445785.6094, 4638282.755]",0,N CARPENTER ST,E,16
46,0.871794872,0.230769231,B211302,"[445549.7607, 4638538.277]",0,N MILWAUKEE AVE,E,16
47,1.051282051,0.205128205,B211303,"[445418.5458, 4638653.704]",0,N MILWAUKEE AVE,E,16
48,0.72972973,0.135135135,B211304,"[445413.2319, 4638653.721]",0,N MILWAUKEE AVE,W,16
367,1.0,0.25,B249302,"[446048.5176, 4637895.694]",0,W GRAND AVE,N,16
368,5.777777778,0.916666667,B249303,"[445842.4172, 4637897.593]",0,W GRAND AVE,N,16
369,3.153846154,1.025641026,B249305,"[445631.0005, 4637895.49]",0,W GRAND AVE,N,16
370,1.416666667,0.333333333,B249306,"[445524.013, 4637894.479]",0,W GRAND AVE,N,16
377,21.4765625,2.265625,B251201,"[447453.2916, 4640474.46]",0,N CLARK ST,E,2
378,5.396694215,0.73553719,B251206,"[447086.6156, 4640903.804]",0,W ARMITAGE AVE,S,2
379,6.598360656,0.68852459,B251207,"[447241.8835, 4640913.847]",0,N CLARK ST,W,2
380,2.504347826,0.260869565,B251209,"[447378.6452, 4640635.706]",0,N CLARK ST,W,2
381,2.931623932,0.358974359,B251210,"[447439.5707, 4640497.528]",0,N CLARK ST,W,2
382,1.122807018,0.157894737,B251211,"[447422.3638, 4640537.587]",0,N CLARK ST,W,2
383,1.741666667,0.275,B251212,"[447463.7504, 4640444.499]",0,N CLARK ST,W,2
384,1.414414414,0.243243243,B251213,"[446856.883, 4641106.6]",0,W DICKENS AVE,N,2
392,6.75,0.901785714,B253406,"[447363.6417, 4640068.022]",0,N WELLS ST,E,2
393,12.31967213,1.31147541,B253412,"[447361.5342, 4640001.217]",0,N WELLS ST,W,2
399,0.834862385,0.04587156,B254401,"[447569.3654, 4640106.563]",0,W NORTH AVE,N,2
400,2.060869565,0.2,B254402,"[447427.9225, 4640099.381]",0,W NORTH AVE,S,2
401,2.913793103,0.275862069,B254403,"[447402.9708, 4640114.44]",0,W NORTH AVE,N,2
402,4.10483871,0.467741935,B254404,"[447306.975, 4640113.709]",0,W NORTH AVE,N,2
403,3.308333333,0.491666667,B254405,"[447235.5654, 4640113.575]",0,W NORTH AVE,N,2
404,1.45,0.166666667,B254406,"[447121.5885, 4640050.48]",0,N ORLEANS ST,E,2
405,2.647540984,0.401639344,B254407,"[447096.3273, 4640093.776]",0,W NORTH AVE,S,2
406,1.384615385,0.333333333,B254409,"[447198.9356, 4640071.293]",0,N NORTH PARK AVE,W,2
407,1.709401709,0.264957265,B254410,"[447221.0337, 4640096.34]",0,W NORTH AVE,S,2
408,0.908256881,0.165137615,B254412,"[447281.5658, 4640069.572]",0,N WEILAND ST,E,2
409,1.361344538,0.176470588,B255402,"[446937.1901, 4640075.568]",0,N HUDSON AVE,W,2
410,2.260504202,0.361344538,B255403,"[446940.5843, 4640068.284]",0,N HUDSON AVE,E,2
411,2.555555556,0.299145299,B255404,"[446813.2527, 4640093.624]",0,W NORTH AVE,S,2
412,2.683760684,0.290598291,B255405,"[446906.5117, 4640093.194]",0,W NORTH AVE,S,2
413,1.026548673,0.292035398,B255406,"[446735.5832, 4640060.119]",0,N MOHAWK ST,W,2
