,Block ID,Cluster ID,Expected Time,Route ID,RouteOrder,block check time,car check time,crossing time,distance,origin_flg,street crossings,ticket writing time,total tickets,travel time
0,starting by termial: B254406,0,0,1,0,0,0,0,0,True,0,0,0,0
1,B606301,0,953,1,1,120,0,60,1036,False,6,0,0,773
2,B353201,0,2541,1,2,240,39,70,1262,False,7,1250,10,942
3,B279210,0,3466,1,3,360,58,80,1291,False,8,2004,16,964
4,B728236,0,4425,1,4,480,72,90,1537,False,9,2636,21,1147
5,B255404,0,5983,1,5,600,91,130,2257,False,13,3478,28,1684
6,B255405,0,6469,1,6,720,97,130,2350,False,13,3769,31,1753
7,B255402,0,6944,1,7,840,104,130,2398,False,13,4081,34,1789
8,B255403,0,7243,1,8,960,108,140,2408,False,14,4239,35,1796
9,starting by termial: B254406,0,0,2,0,0,0,0,0,True,0,0,0,0
10,B254410,0,228,2,1,120,0,0,145,False,0,0,0,108
11,B254405,0,591,2,2,240,5,10,176,False,1,205,1,131
12,B712210,0,1282,2,3,360,15,10,414,False,1,588,4,309
13,B712209,0,2561,2,4,480,36,10,545,False,1,1628,13,407
14,B251210,0,3335,2,5,600,45,20,767,False,2,2097,17,573
15,B251211,0,3842,2,6,720,52,20,824,False,2,2435,20,615
16,B251209,0,4192,2,7,840,54,20,965,False,2,2558,21,720
17,B251207,0,4918,2,8,960,59,40,1379,False,4,2830,23,1029
18,B251206,0,5929,2,9,1080,72,50,1544,False,5,3575,29,1152
19,B254407,0,7356,2,10,1200,86,100,2363,False,10,4207,35,1763
20,starting by termial: B254406,0,0,3,0,0,0,0,0,True,0,0,0,0
21,B252407,0,581,3,1,120,0,20,591,False,2,0,0,441
22,B252405,0,1032,3,2,240,6,20,694,False,2,248,2,518
23,B252403,0,1682,3,3,360,15,30,988,False,3,540,4,737
24,B252402,0,2345,3,4,480,27,30,1159,False,3,943,7,865
25,B250405,0,2669,3,5,600,32,40,1198,False,4,1103,9,894
26,B250403,0,3437,3,6,720,42,40,1378,False,4,1607,13,1028
27,B250401,0,4096,3,7,840,55,50,1424,False,5,2089,17,1062
28,B250407,0,5129,3,8,960,82,70,1742,False,7,2718,22,1299
29,B250409,0,5766,3,9,1080,89,80,1952,False,8,3061,25,1456
30,B250411,0,6320,3,10,1200,96,80,2037,False,8,3425,28,1519
31,starting by termial: B254406,0,0,4,0,0,0,0,0,True,0,0,0,0
32,B253404,0,549,4,1,120,0,30,535,False,3,0,0,399
33,B253414,0,1388,4,2,240,15,40,640,False,4,616,5,477
34,B253403,0,2160,4,3,360,30,50,664,False,5,1225,10,495
35,B253415,0,2900,4,4,480,42,60,754,False,6,1756,14,562
36,B253418,0,3821,4,5,600,58,70,788,False,7,2506,20,587
37,B253416,0,4144,4,6,720,59,80,864,False,8,2641,22,644
38,B253417,0,4551,4,7,840,65,80,935,False,8,2869,23,697
39,B252401,0,5167,4,8,960,76,90,1076,False,9,3239,26,802
40,B374415,0,5581,4,9,1080,80,100,1222,False,10,3410,28,911
41,B374416,0,5964,4,10,1200,86,110,1253,False,11,3634,30,934
42,starting by termial: B254406,0,0,5,0,0,0,0,0,True,0,0,0,0
43,B254404,0,325,5,1,120,0,20,248,False,2,0,0,185
44,B254403,0,1025,5,2,240,10,20,344,False,2,498,4,257
45,B254402,0,1542,5,3,360,16,30,384,False,3,850,7,286
46,B254401,0,2033,5,4,480,20,40,532,False,4,1097,9,396
47,B711209,0,2363,5,5,600,21,50,689,False,5,1179,9,513
48,B251212,0,2988,5,6,720,25,70,974,False,7,1447,12,726
49,B251201,0,3345,5,7,840,30,70,1014,False,7,1649,13,756
50,B712207,0,6272,5,8,960,78,90,1430,False,9,4078,33,1066
51,B254412,0,7533,5,9,1080,106,100,1590,False,10,5061,42,1185
52,starting by termial: B254406,0,0,6,0,0,0,0,0,True,0,0,0,0
53,B255406,0,445,6,1,120,0,30,395,False,3,0,0,295
54,B638415,0,1174,6,2,240,6,60,1019,False,6,108,0,760
55,B638413,0,1934,6,3,360,11,60,1146,False,6,648,5,855
56,B638412,0,3114,6,4,480,34,60,1290,False,6,1578,13,962
57,B638418,0,3556,6,5,600,39,70,1340,False,7,1848,15,999
58,B638420,0,4030,6,6,720,42,70,1409,False,7,2148,17,1050
59,B638410,0,4214,6,7,840,42,80,1481,False,8,2148,17,1104
60,B638409,0,4640,6,8,960,49,80,1614,False,8,2348,19,1203
61,B610401,0,5604,6,9,1080,58,120,2261,False,12,2661,22,1685
62,starting by termial: B254406,0,0,7,0,0,0,0,0,True,0,0,0,0
63,B254406,0,120,7,1,120,0,0,0,False,0,0,0,0
64,B253412,0,643,7,2,240,3,10,289,False,1,175,1,215
65,B253406,0,2307,7,3,360,34,20,357,False,2,1627,13,266
66,B254409,0,3352,7,4,480,55,30,524,False,3,2396,19,391
67,starting by termial: B456106,1,0,8,0,0,0,0,0,True,0,0,0,0
68,B520113,1,726,8,1,120,0,30,771,False,3,0,0,576
69,B520112,1,1056,8,2,240,9,30,852,False,3,140,1,637
70,B520111,1,1608,8,3,360,22,30,952,False,3,484,4,712
71,B520107,1,2023,8,4,480,36,40,959,False,4,750,6,717
72,B520106,1,2479,8,5,600,44,40,1052,False,4,1008,8,787
73,B520105,1,3067,8,6,720,56,40,1141,False,4,1398,11,853
74,B499101,1,3421,8,7,840,66,50,1243,False,5,1536,12,929
75,B520104,1,3848,8,8,960,89,50,1351,False,5,1740,14,1009
76,B520114,1,4235,8,9,1080,98,60,1362,False,6,1980,16,1017
77,starting by termial: B456106,1,0,9,0,0,0,0,0,True,0,0,0,0
78,B525105,1,491,9,1,120,0,20,470,False,2,0,0,351
79,B525106,1,873,9,2,240,8,20,586,False,2,168,1,437
80,B525107,1,1210,9,3,360,15,20,679,False,2,308,2,507
81,B525103,1,1753,9,4,480,46,30,708,False,3,668,5,529
82,B525102,1,2323,9,5,600,87,30,774,False,3,1028,8,578
83,B525108,1,2520,9,6,720,90,40,792,False,4,1079,8,591
84,B525109,1,2744,9,7,840,90,40,904,False,4,1099,9,675
85,B525101,1,2888,9,8,960,90,50,923,False,5,1099,9,689
86,B525104,1,3373,9,9,1080,98,70,1330,False,7,1133,9,992
87,B520117,1,4400,9,10,1200,115,110,2148,False,11,1373,11,1602
88,B520101,1,4766,9,11,1320,127,120,2170,False,12,1580,13,1619
89,B520116,1,5220,9,12,1440,135,130,2235,False,13,1847,15,1668
90,B520102,1,5638,9,13,1560,138,140,2243,False,14,2126,17,1674
91,B520103,1,5987,9,14,1680,146,140,2354,False,14,2264,18,1757
